"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Sex","Education","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (2016 counts)","STEM fields of study - Science and science technology (2016 counts)","STEM fields of study - Engineering and engineering technology (2016 counts)","STEM fields of study - Mathematics and computer and information science (2016 counts)","BHASE (non-STEM) fields of study - Business and administration (2016 counts)","BHASE (non-STEM) fields of study - Arts and humanities (2016 counts)","BHASE (non-STEM) fields of study - Social and behavioural sciences (2016 counts)","BHASE (non-STEM) fields of study - Legal professions and studies (2016 counts)","BHASE (non-STEM) fields of study - Health care (2016 counts)","BHASE (non-STEM) fields of study - Education and teaching (2016 counts)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (2016 counts)","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (% distribution 2016)","STEM fields of study - Science and science technology (% distribution 2016)","STEM fields of study - Engineering and engineering technology (% distribution 2016)","STEM fields of study - Mathematics and computer and information science (% distribution 2016)","BHASE (non-STEM) fields of study - Business and administration (% distribution 2016)","BHASE (non-STEM) fields of study - Arts and humanities (% distribution 2016)","BHASE (non-STEM) fields of study - Social and behavioural sciences (% distribution 2016)","BHASE (non-STEM) fields of study - Legal professions and studies (% distribution 2016)","BHASE (non-STEM) fields of study - Health care (% distribution 2016)","BHASE (non-STEM) fields of study - Education and teaching (% distribution 2016)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (% distribution 2016)"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","College, CEGEP or other non-university certificate or diploma","5553825","154490","488855","260930","1424790","456095","343475","103770","1005380","157730","1158310","100","2.8","8.8","4.7","25.7","8.2","6.2","1.9","18.1","2.8","20.9"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","University certificate, diploma or degree at bachelor level or above","6659615","635670","675830","321425","1220920","823180","994075","168565","675165","801015","343785","100","9.5","10.1","4.8","18.3","12.4","14.9","2.5","10.1","12","5.2"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","Bachelor's degree","4443835","405935","465830","221080","808095","616230","755730","98990","344630","515275","212040","100","9.1","10.5","5","18.2","13.9","17","2.2","7.8","11.6","4.8"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","Master's degree","1331045","126255","134855","71400","303965","143790","163490","26580","88760","165110","106840","100","9.5","10.1","5.4","22.8","10.8","12.3","2","6.7","12.4","8"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","Earned doctorate","231510","80610","29005","12265","7540","28155","37910","5500","13285","11540","5695","100","34.8","12.5","5.3","3.3","12.2","16.4","2.4","5.7","5","2.5"
"01","Canada","5.1","20000","All ages, 15-plus","Male","College, CEGEP or other non-university certificate or diploma","2326940","74385","433110","181665","419445","200335","65245","10735","108760","19575","813680","100","3.2","18.6","7.8","18","8.6","2.8","0.5","4.7","0.8","35"
"01","Canada","5.1","20000","All ages, 15-plus","Male","University certificate, diploma or degree at bachelor level or above","3070315","319330","549730","216390","657420","313755","376000","87625","187960","211400","150710","100","10.4","17.9","7","21.4","10.2","12.2","2.9","6.1","6.9","4.9"
"01","Canada","5.1","20000","All ages, 15-plus","Male","Bachelor's degree","1967905","192810","382005","149185","416215","222080","282830","51100","53240","122000","96450","100","9.8","19.4","7.6","21.2","11.3","14.4","2.6","2.7","6.2","4.9"
"01","Canada","5.1","20000","All ages, 15-plus","Male","Master's degree","651515","62665","106260","46900","184080","61955","61795","13010","17855","55960","41030","100","9.6","16.3","7.2","28.3","9.5","9.5","2","2.7","8.6","6.3"
"01","Canada","5.1","20000","All ages, 15-plus","Male","Earned doctorate","144640","53165","24700","9475","4980","16485","18390","3375","5545","4910","3615","100","36.8","17.1","6.6","3.4","11.4","12.7","2.3","3.8","3.4","2.5"
