GeoName,Education,Age,Sex,Industry,Median Income
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Science and science technology,40555
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Engineering and engineering technology,53172
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Mathematics and computer and information science,43431
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Business and administration,39247
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Arts and humanities,32856
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Social and behavioural sciences,35049
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Legal professions and studies,35925
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Health care,44970
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,Education and teaching,36126
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Male,"Trades, services, natural resources and conservation",43702
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Science and science technology,64667
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Engineering and engineering technology,73628
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Mathematics and computer and information science,65317
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Business and administration,59076
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Arts and humanities,50771
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Social and behavioural sciences,54286
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Legal professions and studies,57958
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Health care,60475
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,Education and teaching,50169
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Male,"Trades, services, natural resources and conservation",65837
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Science and science technology,72724
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Engineering and engineering technology,80362
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Mathematics and computer and information science,74556
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Business and administration,68799
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Arts and humanities,55478
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Social and behavioural sciences,61765
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Legal professions and studies,63913
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Health care,66344
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,Education and teaching,59973
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Male,"Trades, services, natural resources and conservation",68754
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Science and science technology,58658
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Engineering and engineering technology,68383
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Mathematics and computer and information science,60753
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Business and administration,55219
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Arts and humanities,46270
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Social and behavioural sciences,51712
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Legal professions and studies,48628
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Health care,53803
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,Education and teaching,49267
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Male,"Trades, services, natural resources and conservation",54491
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Science and science technology,37917
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Engineering and engineering technology,45797
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Mathematics and computer and information science,36231
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Business and administration,35833
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Arts and humanities,30378
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Social and behavioural sciences,31788
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Legal professions and studies,37589
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Health care,37548
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,Education and teaching,31058
Canada,"College, CEGEP or other non-university certificate or diploma",15 to 29 years,Female,"Trades, services, natural resources and conservation",31228
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Science and science technology,51925
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Engineering and engineering technology,57486
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Mathematics and computer and information science,49021
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Business and administration,46704
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Arts and humanities,42279
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Social and behavioural sciences,39226
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Legal professions and studies,48746
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Health care,46034
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Education and teaching,39442
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,"Trades, services, natural resources and conservation",44710
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Science and science technology,61437
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Engineering and engineering technology,59589
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Mathematics and computer and information science,60198
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Business and administration,51351
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Arts and humanities,46519
