GeoName,Education,Sex,Industry,Median Income
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,69269
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,80159
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,57243
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,46062
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,40454
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,35798
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,44584
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,55616
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,46170
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",61699
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,83222
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,84959
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,62537
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,61037
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,44308
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,48215
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,0
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Health care,65292
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,58943
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",68246
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,67154
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,54992
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,47287
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,44515
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,35887
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,33768
Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,43645
